,city_id,name,state,country,lon,lat,temperature,pressure,humidity,temp_min,temp_max,visibility,wind_speed,wind_deg,wind_gust,clouds_all,weather_main,weather_description,rain_1h,rain_3h,snow_1h,snow_3h,timezone
count,209573.0,209572,19907,209499,209573.0,209573.0,209573.0,209573.0,209573.0,209573.0,209573.0,208287.0,209573.0,209573.0,164340.0,209573.0,209573,209573,209573.0,209573.0,209573.0,209573.0,209573.0
unique,,157599,52,245,,,,,,,,,,,,,12,28,,,,,
top,,Krajan,TX,DE,,,,,,,,,,,,,Clouds,overcast clouds,,,,,
freq,,54,1268,28786,,,,,,,,,,,,,136036,81711,,,,,
mean,3602690.2990891,,,,12.845637830732011,35.23879579573705,10.231757478301118,1021.5688519036327,68.66399774780149,9.886448158875428,10.571248013818575,9632.855257409248,3.3822132622045777,181.88496132612502,5.2911024704880125,63.58012243943638,,,0.10692102513205423,0.0,0.004493517771850382,0.0,4566.001345593182
std,2109954.6694778665,,,,62.078730562216904,22.661854510438374,10.757593657550178,7.785265994894933,19.552543857528836,10.843983773283652,10.684834003686797,1576.808197268302,2.1015355253105854,96.59039163346127,3.7385714764794233,40.84602236404461,,,0.6374197653471383,0.0,0.07053110455190535,0.0,14864.098277958139
min,833.0,,,,-179.8667,-78.1586,-41.21,966.0,1.0,-41.21,-41.21,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,-39600.0
25%,2164451.0,,,,-3.5475,31.2167,4.77,1016.0,58.0,4.4,5.0,10000.0,1.72,108.0,2.27,19.0,,,0.0,0.0,0.0,0.0,3600.0
50%,3020135.0,,,,9.1361,43.3983,10.96,1021.0,71.0,10.49,11.42,10000.0,3.09,194.0,4.47,84.0,,,0.0,0.0,0.0,0.0,3600.0
75%,5248417.0,,,,30.3217,49.4562,14.66,1027.0,84.0,14.31,15.06,10000.0,4.82,256.0,7.62,100.0,,,0.0,0.0,0.0,0.0,7200.0
max,8277210.0,,,,179.5,78.7853,44.16,1061.0,100.0,44.16,44.16,10000.0,20.06,360.0,76.44,100.0,,,47.32,0.0,16.51,0.0,50400.0
